Input, Num of Threads, Avg Time Taken(s), Max Time Taken(s), Min Time Taken(s)
1, 1, 13.168651999999998, 30.4565, 1.64275
1, 32, 0.22072380000000003, 0.395345, 0.119101
1, 64, 0.11721718, 0.215164, 0.0303429
1, 128, 0.0824066, 0.152406, 0.0128192
1, 256, 0.076836434, 0.233631, 0.00517267
2, 1, 1293.8544, 2359.57, 148.075
2, 32, 44.1147814, 125.946, 0.613097
2, 64, 24.156184, 41.5867, 1.92195
2, 128, 38.43031, 128.273, 1.01515
2, 256, 11.353401999999999, 22.8355, 1.60367
